vd;x;y;z
20,818;11,555;19,247;18,079
21,497;13,650;23,031;20,683
25,550;13,169;17,718;24,745
23,039;10,027;19,516;21,823
39,134;22,416;31,721;35,540
37,820;24,074;32,226;37,138
30,473;23,069;24,657;26,900
24,921;10,139;24,259;21,793
37,840;14,945;37,284;33,203
29,992;22,159;19,845;28,083
25,044;8,669;24,191;17,711
25,591;4,747;28,680;19,884
31,811;10,513;32,517;27,577
49,038;22,074;46,162;45,816
31,136;18,273;25,818;30,667
30,928;4,485;33,976;26,135
30,403;22,177;24,904;28,323
27,418;7,954;35,199;25,951
28,005;8,249;34,186;26,409
28,523;13,185;29,797;30,281
27,652;13,649;25,177;20,021
43,075;27,209;42,467;40,871
32,005;21,724;25,552;27,928
31,557;21,475;25,468;30,371
23,252;12,141;22,509;21,389
34,386;13,749;40,089;32,633
25,336;11,951;23,104;22,037
33,833;17,036;27,844;32,262
35,980;27,301;22,803;34,721
;;;
